#Type	Kind	Base	Namespace	Path	Gate	Summary
GameStateListener<T>	class	MonoBehaviour	SombraStudios.Shared.Systems.GameState	Systems/GameState/GameStateListener.cs	-	Abstract base class for listening to changes in a GameStateSO
GameStateSO<T>	class	ScriptableObject	SombraStudios.Shared.Systems.GameState	Systems/GameState/GameStateSO.cs	-	Abstract base class for managing game states using a ScriptableObject
GenericEventChannelListener<T>	class	MonoBehaviour	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Generic/GenericEventChannelListener.cs	-	A generic listener for an event channel of type T
GenericEventChannelListListener<T>	class	MonoBehaviour	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Generic/GenericEventChannelListListener.cs	-	A listener for multiple event channels of type T
GenericEventChannelListListener<T>.EventChannelResponsePair<T>	class	-	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Generic/GenericEventChannelListListener.cs	-	A class representing a pair of an event channel and its corresponding UnityEvent response
GenericEventChannelSO<T>	class	ScriptableObject	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/EventChannels/GenericEventChannelSO.cs	-	A generic event channel scriptable object that allows raising events with a parameter of type T
GenericEventChannelSOEditor<T>	class	Editor	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects.Editor	Patterns/Behavioural/Observer/ScriptableObjects/Editor/GenericEventChannelSOEditor.cs	-	This Editor class creates a custom Inspector for event channels that carry a payload (e.g., BoolEventChannelSO, FloatEventChannelSO, etc.)
GetRemoteTexture	class	MonoBehaviour	SombraStudios.Shared.Utility	Utility/GetRemoteTexture.cs	-	Script for getting image from web/local location
GizmoCubeEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoCubeEditor.cs	-	Custom editor for IGizmoCube objects
GizmoFrustumEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoFrustumEditor.cs	-	Custom editor for IGizmoFrustum objects
GizmoGridEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoGridEditor.cs	-	Custom editor for IGizmoGrid objects
GizmoGUITextureEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoGUITextureEditor.cs	-	Custom editor for IGizmoGUITexture objects
